Volcano Number,Volcano Name,Country,Location,Latitude,Longitude,Elevation (m),Type,TypeCategory,Status,Last Known Eruption,Description
222030.0,"Barrier, The",Kenya,Africa-E,2.32,36.57,1032.0,Shield volcano,Shield Volcano,Historical,D2,Same as 'Shield' – a volcano with broad profile from many fluid lava flows.
222130.0,Chyulu Hills,Kenya,Africa-E,-2.68,37.88,2188.0,Volcanic field,Crater System,Anthropology,D3,A non‐single edifice area of volcanic activity – many vents & volcanoes across an area.
222080.0,"Eburru, Ol Doinyo",Kenya,Africa-E,-0.65,36.22,2856.0,Complex volcano,Stratovolcano,Holocene,U,"A volcano with multiple vents and edifice structures, showing mixed behaviours over time."
222071.0,Elmenteita Badlands,Kenya,Africa-E,-0.546,36.249,2126.0,Pyroclastic cone,Cone,Holocene,U,"A cone built from pyroclastic material (ash, lapilli, bombs) around a vent."
222051.0,Emuruangogolak,Kenya,Africa-E,1.5,36.33,1285.0,Shield volcano,Shield Volcano,Radiocarbon,D2,Same as 'Shield' – a volcano with broad profile from many fluid lava flows.
222070.0,Homa Mountain,Kenya,Africa-E,-0.38,34.5,1751.0,Complex volcano,Stratovolcano,Holocene,U,"A volcano with multiple vents and edifice structures, showing mixed behaviours over time."
222054.0,Korosi,Kenya,Africa-E,0.77,36.12,1446.0,Shield volcano,Shield Volcano,Holocene,U,Same as 'Shield' – a volcano with broad profile from many fluid lava flows.
222010.0,Lake Turkana Central Island,Kenya,Africa-E,3.496,36.04,518.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
222001.0,Lake Turkana North Island,Kenya,Africa-E,4.063,36.046,490.0,Tuff cone,Maars / Tuff ring,Holocene,U,"A volcanic cone formed by explosive interaction of magma and water, with fine‐grained tuff deposits."
222020.0,Lake Turkana South Island,Kenya,Africa-E,2.636,36.596,800.0,Stratovolcano,Stratovolcano,Historical,D3,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
222100.0,Longonot,Kenya,Africa-E,-0.914,36.446,2776.0,Stratovolcano,Stratovolcano,Anthropology,D3,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
222021.0,Marsabit,Kenya,Africa-E,2.32,37.97,1707.0,Shield volcano,Shield Volcano,Holocene,Unknown,Same as 'Shield' – a volcano with broad profile from many fluid lava flows.
221330.0,Mega Volcanic Field,Kenya,Africa-E,3.971,38.213,1500.0,Pyroclastic cone,Cone,Holocene,U,"A cone built from pyroclastic material (ash, lapilli, bombs) around a vent."
222060.0,Menengai,Kenya,Africa-E,-0.2,36.07,2278.0,Shield volcano,Shield Volcano,Tephrochronology,D7,Same as 'Shield' – a volcano with broad profile from many fluid lava flows.
222040.0,Namarunu,Kenya,Africa-E,1.98,36.43,817.0,Shield volcano,Shield Volcano,Tephrochronology,D7,Same as 'Shield' – a volcano with broad profile from many fluid lava flows.
222056.0,Nyambeni Hills,Kenya,Africa-E,0.23,37.87,750.0,Shield volcano,Shield Volcano,Holocene,U,Same as 'Shield' – a volcano with broad profile from many fluid lava flows.
222055.0,Ol Kokwe,Kenya,Africa-E,0.62,36.075,1130.0,Shield volcano,Shield Volcano,Holocene,U,Same as 'Shield' – a volcano with broad profile from many fluid lava flows.
222090.0,Olkaria,Kenya,Africa-E,-0.904,36.292,2434.0,Pumice cone,Cone,Radiocarbon,D4,"A volcanic cone formed largely of pumice fragments (light, vesicular rock) ejected during eruption."
222053.0,Paka,Kenya,Africa-E,0.92,36.18,1697.0,Shield volcano,Shield Volcano,Ar/Ar,D7,Same as 'Shield' – a volcano with broad profile from many fluid lava flows.
222050.0,Segererua Plateau,Kenya,Africa-E,1.57,37.9,699.0,Pyroclastic cone,Cone,Holocene,U,"A cone built from pyroclastic material (ash, lapilli, bombs) around a vent."
222052.0,Silali,Kenya,Africa-E,1.15,36.23,1528.0,Shield volcano,Shield Volcano,Ar/Ar,D7,Same as 'Shield' – a volcano with broad profile from many fluid lava flows.
222110.0,Suswa,Kenya,Africa-E,-1.151,36.357,2356.0,Shield volcano,Shield Volcano,Holocene,U,Same as 'Shield' – a volcano with broad profile from many fluid lava flows.
222161.0,Igwisi Hills,Tanzania,Africa-E,-4.889,31.933,1146.0,Tuff cone,Maars / Tuff ring,Holocene,U,"A volcanic cone formed by explosive interaction of magma and water, with fine‐grained tuff deposits."
,Izumbwe-Mpoli,Tanzania,Africa-E,-8.93,33.4,1568.0,Pyroclastic cone,Cone,Holocene,U,"A cone built from pyroclastic material (ash, lapilli, bombs) around a vent."
,Kilimanjaro,Tanzania,Africa-E,-3.07,37.35,5895.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
222170.0,Kyejo,Tanzania,Africa-E,-9.229,33.792,2176.0,Stratovolcano,Stratovolcano,Historical,D3,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
222120.0,"Lengai, Ol Doinyo",Tanzania,Africa-E,-2.764,35.914,2962.0,Stratovolcano,Stratovolcano,Historical,D1,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
222160.0,Meru,Tanzania,Africa-E,-3.244,36.75,4550.0,Stratovolcano,Stratovolcano,Historical,D2,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
222164.0,Ngozi,Tanzania,Africa-E,-9.004,33.552,2614.0,Caldera,Caldera,Holocene,U,A large depression formed when a volcano’s summit or magma chamber collapses after a major eruption.
222166.0,Rungwe,Tanzania,Africa-E,-9.135,33.668,2953.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
,SW Usangu Basin,Tanzania,Africa-E,-8.75,33.8,2179.0,Lava dome,Cone,Holocene,U,"A rounded mound formed by highly viscous lava extruding slowly, building up near the vent."
,Unnamed,Tanzania,Africa-E,-8.63,33.57,0.0,Pyroclastic cone,Cone,Holocene,U,"A cone built from pyroclastic material (ash, lapilli, bombs) around a vent."
225005.0,Atakor Volcanic Field,Algeria,Africa-N,23.33,5.83,2918.0,Scoria cones,Cone,Holocene,U,Plural of scoria cone – many small cones of scoria in a volcanic field.
,In Ezzane Volc Field,Algeria,Africa-N,23.0,10.833,,Volcanic field,Crater System,Holocene?,?,A non‐single edifice area of volcanic activity – many vents & volcanoes across an area.
225006.0,Manzaz Volcanic Field,Algeria,Africa-N,23.92,5.83,1672.0,Scoria cones,Cone,Holocene,U,Plural of scoria cone – many small cones of scoria in a volcanic field.
225004.0,Tahalra Volcanic Field,Algeria,Africa-N,22.67,5.0,1467.0,Pyroclastic cones,Cone,Holocene,U,Plural of pyroclastic cone – multiple small cones built from explosively ejected fragments.
225021.0,"Koussi, Emi",Chad,Africa-N,19.8,18.53,3415.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
225001.0,Todra Volcanic Field,Chad,Africa-N,17.68,8.5,1780.0,Volcanic field,Crater System,Holocene,U,A non‐single edifice area of volcanic activity – many vents & volcanoes across an area.
225009.0,"Toh, Tarso",Chad,Africa-N,21.33,16.33,2000.0,Volcanic field,Crater System,Holocene,U,A non‐single edifice area of volcanic activity – many vents & volcanoes across an area.
225010.0,"Tousside, Tarso",Chad,Africa-N,21.03,16.45,3265.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
225020.0,"Voon, Tarso",Chad,Africa-N,20.92,17.28,3100.0,Stratovolcano,Stratovolcano,Fumarolic,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
,Haruj,Libya,Africa-N,27.25,17.5,1200.0,Scoria cone,Cone,Holocene,U,A small volcanic cone composed of scoria (vesicular basaltic fragments) around a vent.
,Wau-en-Namus,Libya,Africa-N,25.05,17.55,547.0,Caldera,Caldera,Holocene?,?,A large depression formed when a volcano’s summit or magma chamber collapses after a major eruption.
225002.0,Tin Zaouatene Volcanic Field,Mali,Africa-N,19.83,2.83,700.0,Volcanic field,Crater System,Holocene,U,A non‐single edifice area of volcanic activity – many vents & volcanoes across an area.
225060.0,Bayuda Volcanic Field,Sudan,Africa-N,18.33,32.75,670.0,Cinder cone,Cone,Radiocarbon,D6,"A small, steep conical hill built from volcanic fragments (scoria) erupted from a single vent."
225040.0,Kutum Volcanic Field,Sudan,Africa-N,14.57,25.85,1779.0,Scoria cone,Cone,Holocene,Unknown,A small volcanic cone composed of scoria (vesicular basaltic fragments) around a vent.
225030.0,"Marra, Jebel",Sudan,Africa-N,12.95,24.27,3042.0,Volcanic field,Crater System,Radiocarbon,D7,A non‐single edifice area of volcanic activity – many vents & volcanoes across an area.
225050.0,Meidob Volcanic Field,Sudan,Africa-N,15.32,26.47,2000.0,Scoria cone,Cone,Holocene,D7,A small volcanic cone composed of scoria (vesicular basaltic fragments) around a vent.
,"Umm Arafieb, Jebel",Sudan,Africa-N,18.17,33.83,0.0,Shield volcano,Shield Volcano,Holocene,Unknown,Same as 'Shield' – a volcano with broad profile from many fluid lava flows.
221126.0,Ardoukoba,Djibouti,Africa-NE,11.58,42.47,298.0,Fissure vent,Crater System,Historical,D1,"A linear crack in the crust through which lava erupts, often forming a row of vents."
221123.0,Mousa Alli,Djibouti,Africa-NE,12.469,42.404,1993.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
221040.0,Alid,Eritrea,Africa-NE,14.88,39.92,904.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
221125.0,Assab Volcanic Field,Eritrea,Africa-NE,12.95,42.43,987.0,Volcanic field,Crater System,Holocene,U,A non‐single edifice area of volcanic activity – many vents & volcanoes across an area.
221100.0,Dubbi,Eritrea,Africa-NE,13.579,41.809,1625.0,Stratovolcano,Stratovolcano,Historical,D3,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
221124.0,Gufa,Eritrea,Africa-NE,12.55,42.53,600.0,Volcanic field,Crater System,Holocene,U,A non‐single edifice area of volcanic activity – many vents & volcanoes across an area.
,Jalua,Eritrea,Africa-NE,15.042,39.82,713.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
221101.0,Nabro,Eritrea,Africa-NE,13.37,41.7,2218.0,Stratovolcano,Stratovolcano,Holocene,Unknown,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
221170.0,Adwa,Ethiopia,Africa-NE,10.063,40.831,1670.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
221110.0,Afdera,Ethiopia,Africa-NE,13.088,40.853,1250.0,Stratovolcano,Stratovolcano,Holocene,Unknown,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
221112.0,Alayta,Ethiopia,Africa-NE,12.888,40.573,1496.0,Shield volcano,Shield Volcano,Historical,D2,Same as 'Shield' – a volcano with broad profile from many fluid lava flows.
221090.0,Ale Bagu,Ethiopia,Africa-NE,13.512,40.631,988.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
221060.0,Alu-Dalafilla,Ethiopia,Africa-NE,13.793,40.553,578.0,Fissure vent,Crater System,Holocene,U,"A linear crack in the crust through which lava erupts, often forming a row of vents."
221270.0,Aluto,Ethiopia,Africa-NE,7.77,38.78,2335.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
221104.0,Asavyo,Ethiopia,Africa-NE,13.098,41.599,1338.0,Shield volcano,Shield Volcano,Holocene,U,Same as 'Shield' – a volcano with broad profile from many fluid lava flows.
221160.0,Ayelu,Ethiopia,Africa-NE,10.082,40.702,2145.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
221191.0,Beru,Ethiopia,Africa-NE,8.95,39.75,1100.0,Volcanic field,Crater System,Holocene,U,A non‐single edifice area of volcanic activity – many vents & volcanoes across an area.
221291.0,Bilate River Field,Ethiopia,Africa-NE,7.07,38.1,1700.0,Maar,Maars / Tuff ring,Holocene,U,"A broad, shallow crater formed by explosive interaction of magma with groundwater (phreatomagmatic)."
221220.0,Bishoftu Volcanic Field,Ethiopia,Africa-NE,8.78,38.98,1850.0,Fissure vent,Crater System,Holocene,U,"A linear crack in the crust through which lava erupts, often forming a row of vents."
221071.0,Bora Ale,Ethiopia,Africa-NE,13.725,40.6,668.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
221240.0,Bora-Bericcio,Ethiopia,Africa-NE,8.221,39.05,2267.0,Pumice cone,Cone,Holocene,U,"A volcanic cone formed largely of pumice fragments (light, vesicular rock) ejected during eruption."
221250.0,Bora-Bericha-Tullu Moye,Ethiopia,Africa-NE,8.211,39.081,2345.0,Pumice cone,Cone,Anthropology,D2,"A volcanic cone formed largely of pumice fragments (light, vesicular rock) ejected during eruption."
221107.0,Borawli,Ethiopia,Africa-NE,13.304,40.987,784.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
,Borawli Complex,Ethiopia,Africa-NE,11.63,41.45,875.0,Lava dome,Cone,Holocene,U,"A rounded mound formed by highly viscous lava extruding slowly, building up near the vent."
221210.0,Boset,Ethiopia,Africa-NE,8.558,39.475,2447.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
221260.0,Butajiri-Silti Field,Ethiopia,Africa-NE,8.05,38.35,2281.0,Fissure vent,Crater System,Holocene,U,"A linear crack in the crust through which lava erupts, often forming a row of vents."
221300.0,Chiracha,Ethiopia,Africa-NE,6.65,38.12,1636.0,Stratovolcano,Stratovolcano,Holocene,Unknown,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
221290.0,Corbetti,Ethiopia,Africa-NE,7.193,38.39,2289.0,Caldera,Caldera,Holocene,U,A large depression formed when a volcano’s summit or magma chamber collapses after a major eruption.
221113.0,Dabbahu,Ethiopia,Africa-NE,12.595,40.48,1401.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
221114.0,Dabbayra,Ethiopia,Africa-NE,12.38,40.07,1302.0,Shield volcano,Shield Volcano,Holocene,U,Same as 'Shield' – a volcano with broad profile from many fluid lava flows.
,Dalaffilla,Ethiopia,Africa-NE,13.792,40.55,613.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
221041.0,Dallol,Ethiopia,Africa-NE,14.242,40.3,-48.0,Explosion crater,Crater System,Historical,D2,"A crater formed by explosive activity, often shallow, sometimes from phreatic interactions."
221141.0,Dama Ali,Ethiopia,Africa-NE,11.28,41.63,1068.0,Shield volcano,Shield Volcano,Historical,D5,Same as 'Shield' – a volcano with broad profile from many fluid lava flows.
221180.0,Dofan,Ethiopia,Africa-NE,9.35,40.13,1151.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
221311.0,East Chamo Basin,Ethiopia,Africa-NE,5.708,37.713,1150.0,Cinder cone,Cone,Holocene,U,"A small, steep conical hill built from volcanic fragments (scoria) erupted from a single vent."
221252.0,East Ziway,Ethiopia,Africa-NE,7.874,38.902,1889.0,Fissure vent,Crater System,Holocene,U,"A linear crack in the crust through which lava erupts, often forming a row of vents."
221080.0,Erta Ale,Ethiopia,Africa-NE,13.601,40.666,585.0,Shield volcano,Shield Volcano,Historical,D1,Same as 'Shield' – a volcano with broad profile from many fluid lava flows.
221190.0,Fentale,Ethiopia,Africa-NE,8.985,39.906,2007.0,Stratovolcano,Stratovolcano,Historical,D3,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
221150.0,Gabillema,Ethiopia,Africa-NE,11.08,41.27,1459.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
221050.0,Gada Ale,Ethiopia,Africa-NE,13.975,40.408,287.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
221230.0,Gedemsa,Ethiopia,Africa-NE,8.363,39.172,1909.0,Caldera,Caldera,Holocene,U,A large depression formed when a volcano’s summit or magma chamber collapses after a major eruption.
221116.0,Groppo,Ethiopia,Africa-NE,11.816,40.242,852.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
221091.0,Hayli Gubbi,Ethiopia,Africa-NE,13.51,40.722,493.0,Shield volcano,Shield Volcano,Holocene,U,Same as 'Shield' – a volcano with broad profile from many fluid lava flows.
221171.0,Hertali,Ethiopia,Africa-NE,9.78,40.33,900.0,Fissure vent,Crater System,Holocene,U,"A linear crack in the crust through which lava erupts, often forming a row of vents."
221293.0,Hobicha Caldera,Ethiopia,Africa-NE,6.78,37.83,1800.0,Caldera,Caldera,Holocene,Unknown,A large depression formed when a volcano’s summit or magma chamber collapses after a major eruption.
221200.0,Kone,Ethiopia,Africa-NE,8.811,39.695,1380.0,Caldera,Caldera,Historical,D3,A large depression formed when a volcano’s summit or magma chamber collapses after a major eruption.
221320.0,Korath Range,Ethiopia,Africa-NE,5.117,35.892,912.0,Tuff cone,Maars / Tuff ring,Holocene,Unknown,"A volcanic cone formed by explosive interaction of magma and water, with fine‐grained tuff deposits."
221120.0,Kurub,Ethiopia,Africa-NE,11.88,41.208,625.0,Shield volcano,Shield Volcano,Holocene,U,Same as 'Shield' – a volcano with broad profile from many fluid lava flows.
221172.0,Liado Hayk,Ethiopia,Africa-NE,9.57,40.28,878.0,Maar,Maars / Tuff ring,Holocene,Unknown,"A broad, shallow crater formed by explosive interaction of magma with groundwater (phreatomagmatic)."
221111.0,Ma Alalta,Ethiopia,Africa-NE,13.013,40.185,1745.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
221102.0,Mallahle,Ethiopia,Africa-NE,13.27,41.65,1875.0,Stratovolcano,Stratovolcano,Holocene,Unknown,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
221115.0,Manda Hararo,Ethiopia,Africa-NE,12.17,40.82,600.0,Shield volcano,Shield Volcano,Holocene,U,Same as 'Shield' – a volcano with broad profile from many fluid lava flows.
221122.0,Manda-Inakir,Ethiopia,Africa-NE,12.38,42.2,600.0,Fissure vent,Crater System,Historical,D2,"A linear crack in the crust through which lava erupts, often forming a row of vents."
221105.0,Mat Ala,Ethiopia,Africa-NE,13.106,41.161,493.0,Shield volcano,Shield Volcano,Holocene,U,Same as 'Shield' – a volcano with broad profile from many fluid lava flows.
221222.0,Melkassa,Ethiopia,Africa-NE,8.43,39.35,1765.0,Pyroclastic cone,Cone,Holocene,U,"A cone built from pyroclastic material (ash, lapilli, bombs) around a vent."
221294.0,Northern Lake Abaya Volcanic Field,Ethiopia,Africa-NE,6.76,37.97,1594.0,Volcanic field,Crater System,,Unknown,A non‐single edifice area of volcanic activity – many vents & volcanoes across an area.
221280.0,Shala,Ethiopia,Africa-NE,7.457,38.557,2075.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
221103.0,Sork Ale,Ethiopia,Africa-NE,13.18,41.725,1611.0,Stratovolcano,Stratovolcano,Holocene,Unknown,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
221106.0,Tat Ali,Ethiopia,Africa-NE,13.284,41.063,655.0,Shield volcano,Shield Volcano,Holocene,U,Same as 'Shield' – a volcano with broad profile from many fluid lava flows.
221292.0,Tepi,Ethiopia,Africa-NE,7.42,35.43,2728.0,Shield volcano,Shield Volcano,Holocene,U,Same as 'Shield' – a volcano with broad profile from many fluid lava flows.
,Tosa Sucha,Ethiopia,Africa-NE,5.92,37.57,1650.0,Cinder cone,Cone,Holocene,U,"A small, steep conical hill built from volcanic fragments (scoria) erupted from a single vent."
,Unnamed,Ethiopia,Africa-NE,8.7,39.63,1300.0,Pyroclastic cone,Cone,Holocene,U,"A cone built from pyroclastic material (ash, lapilli, bombs) around a vent."
,Unnamed,Ethiopia,Africa-NE,8.62,38.95,1800.0,Fissure vent,Crater System,Holocene,U,"A linear crack in the crust through which lava erupts, often forming a row of vents."
221251.0,Unnamed,Ethiopia,Africa-NE,8.013,39.062,1886.0,Fissure vent,Crater System,Holocene,U,"A linear crack in the crust through which lava erupts, often forming a row of vents."
221151.0,Yangudi,Ethiopia,Africa-NE,10.58,41.042,1383.0,Complex volcano,Stratovolcano,Holocene,U,"A volcano with multiple vents and edifice structures, showing mixed behaviours over time."
224010.0,Cameroon,Cameroon,Africa-W,4.203,9.17,4095.0,Stratovolcano,Stratovolcano,Historical,D1,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
,Manengouba,Cameroon,Africa-W,5.03,9.83,2411.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
,Ngaoundere Plateau,Cameroon,Africa-W,7.25,13.67,0.0,Volcanic field,Crater System,Holocene,Unknown,A non‐single edifice area of volcanic activity – many vents & volcanoes across an area.
224030.0,Oku Volcanic Field,Cameroon,Africa-W,6.25,10.5,3011.0,Maar,Maars / Tuff ring,Radiocarbon,D5,"A broad, shallow crater formed by explosive interaction of magma with groundwater (phreatomagmatic)."
224011.0,Tombel Graben,Cameroon,Africa-W,4.758,9.717,500.0,Cinder cones,Cone,Holocene,U,Plural form of cinder cone – small volcanoes composed of pyroclastic fragments around a vent.
224002.0,San Carlos,Equatorial Guinea,Africa-W,3.35,8.52,2260.0,Shield volcano,Shield Volcano,Holocene,U,Same as 'Shield' – a volcano with broad profile from many fluid lava flows.
224003.0,San Joaquin,Equatorial Guinea,Africa-W,3.35,8.63,2009.0,Shield volcano,Shield Volcano,Holocene,U,Same as 'Shield' – a volcano with broad profile from many fluid lava flows.
224004.0,Santa Isabel,Equatorial Guinea,Africa-W,3.588,8.762,2999.0,Shield volcano,Shield Volcano,Historical,D2,Same as 'Shield' – a volcano with broad profile from many fluid lava flows.
,Biu Plateau,Nigeria,Africa-W,10.75,12.0,0.0,Volcanic field,Crater System,Holocene,Unknown,A non‐single edifice area of volcanic activity – many vents & volcanoes across an area.
,Sao Tome,Sao Tome & Principe,Africa-W,0.32,6.72,2024.0,Shield volcano,Shield Volcano,Holocene,Unknown,Same as 'Shield' – a volcano with broad profile from many fluid lava flows.
312090.0,Aniakchak,United States,Alaska Peninsula,56.88,-158.17,1341.0,Caldera,Caldera,Historical,D2,A large depression formed when a volcano’s summit or magma chamber collapses after a major eruption.
312080.0,Black Peak,United States,Alaska Peninsula,56.552,-158.785,1032.0,Stratovolcano,Stratovolcano,Radiocarbon,D7,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
312110.0,Chiginagak,United States,Alaska Peninsula,57.135,-156.99,2221.0,Stratovolcano,Stratovolcano,Historical,D1,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
312050.0,Dana,United States,Alaska Peninsula,55.641,-161.214,1354.0,Stratovolcano,Stratovolcano,Radiocarbon,D7,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
312210.0,Denison,United States,Alaska Peninsula,58.418,-154.449,2287.0,Stratovolcano,Stratovolcano,Uncertain,Unknown,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
312270.0,Douglas,United States,Alaska Peninsula,58.855,-153.542,2140.0,Stratovolcano,Stratovolcano,Fumarolic,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
312011.0,Dutton,United States,Alaska Peninsula,55.183,-162.276,1465.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
